Symbol,P/E FWD,EPS Estimate,EPS Actual,Sector,Quant Rating,Revenue 5Y,Price,Market Cap,Shares Outstanding,Total Debt,Last Price Vs. 200D SMA,EPS YoY,Last Quarter Announce Date,Last Price Vs. 10D SMA,Change %,Upcoming Announce Date,EPS Revision Grade
A,19.55,1.26428,1.31,Health Care,2.69,4.53%,111.28,30942198000,285102720,3540000000,-17.31%,4.31%,2/26/2025,-3.33%,2.53%,5/28/2025,C
AA,7.81,0.82762,2.15,Materials,2.95,4.64%,28.26,7267387400,258902300,2693000000,-19.84%,NM,4/16/2025,-2.18%,0.68%,7/16/2025,C+
AAL,11.81,0.77528,-0.59,Industrials,3.14,4.40%,11.655,7379943000,659512300,36600000000,-14.58%,35.09%,4/24/2025,-4.17%,4.16%,7/23/2025,D
AAPL,27.16,1.42517,1.65,Information Technology,3.3,8.36%,200.37,2.92E+12,14935826000,98186000000,-13.57%,-0.31%,5/1/2025,-5.81%,2.61%,7/31/2025,C-
ABBV,14.96,3.18303,2.46,Health Care,3.27,10.99%,185.69,3.24E+11,1766403100,70024000000,-3.16%,-30.38%,4/25/2025,-0.37%,1.33%,7/25/2025,C
ABNB,29.96,0.92843,0.24,Consumer Discretionary,2.97,18.23%,129.57,78213200000,617212740,2280000000,-1.92%,-47.08%,5/1/2025,-5.09%,2.25%,8/1/2025,C+
ABT,25.48,1.24793,1.09,Health Care,3.28,5.70%,133.15,2.28E+11,1739836400,13290000000,8.12%,139.92%,4/16/2025,-0.86%,1.41%,7/16/2025,C
ACN,24.31,3.30872,2.82,Information Technology,3.14,8.52%,315.23,1.94E+11,626025860,8060330000,-9.57%,9.77%,3/20/2025,-2.93%,1.83%,6/20/2025,C
ADBE,20.02,4.96992,5.08,Information Technology,3.77,13.58%,412.99,1.74E+11,426200000,6563000000,-11.82%,44.73%,3/12/2025,-0.30%,1.30%,6/12/2025,C
ADI,28.42,1.93261,1.85,Information Technology,4.55,12.11%,217.07,1.04E+11,496248200,7219018000,-2.28%,-13.93%,5/22/2025,-5.39%,3.14%,8/20/2025,A-
ADM,12.44,0.80126,0.7,Consumer Staples,2.98,5.45%,48.47,23032775000,480450020,12423000000,-8.20%,-50.84%,5/6/2025,-2.83%,1.11%,7/22/2025,C
ADP,32.18,2.22508,3.06,Industrials,3.34,6.58%,325.34,1.30E+11,405922750,4366700000,9.18%,9.27%,4/30/2025,1.18%,1.32%,-,A-
ADSK,30.63,2.45046,2.29,Information Technology,3.38,13.13%,300.61,63188517000,213944530,2544000000,5.22%,1.35%,5/22/2025,-0.04%,1.78%,8/19/2025,B+
AKAM,12.08,1.54377,1.7,Information Technology,3.06,6.37%,77.89,11088292000,146206370,4618776000,-17.49%,-25.97%,5/8/2025,-2.08%,2.70%,8/5/2025,B-
ALB,NM,-0.63733,-0.18,Materials,1.63,7.82%,58.74,6778445300,117660910,3673838000,-31.14%,NM,4/30/2025,-3.27%,1.96%,7/30/2025,C+
ALGN,16.58,2.56976,2.13,Health Care,3.22,10.57%,178.02,12380411000,72484840,118535000,-17.82%,-9.32%,4/30/2025,-6.40%,4.23%,7/30/2025,A-
ALK,13.94,1.54052,-0.77,Industrials,2.93,8.16%,52.38,6155814000,121392504,6276000000,-3.98%,48.41%,4/23/2025,-3.55%,3.29%,-,D+
ALL,11.33,3.19267,3.53,Financials,4.56,8.44%,207.14,53821510000,264817500,8087000000,5.17%,216.18%,4/30/2025,-0.82%,1.92%,7/30/2025,B-
AMAT,16.61,2.35461,2.39,Information Technology,3.21,12.72%,161.83,1.26E+11,802498240,6670000000,-9.45%,-5.53%,5/15/2025,-5.54%,2.74%,8/15/2025,B
AMD,27.67,0.58278,0.96,Information Technology,3.07,30.81%,114.74,1.79E+11,1621404200,4731000000,-12.80%,99.41%,5/6/2025,-2.53%,4.02%,7/29/2025,D+
AMGN,13.04,5.23117,4.9,Health Care,3.28,7.32%,279.21,1.46E+11,537706100,57381000000,-9.19%,56.16%,5/1/2025,-0.03%,2.78%,8/4/2025,B
AMKR,16.72,0.15973,0.09,Information Technology,1.76,7.80%,18.73,4513718300,247056290,1402819000,-26.46%,-15.74%,4/28/2025,-5.72%,2.52%,7/28/2025,F
AMT,34.25,1.64359,1.04,Real Estate,2.81,5.57%,214.35,99179766000,468138240,44383600000,0.98%,41.08%,4/29/2025,0.51%,1.18%,7/25/2025,C+
